cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 1, 9, 4.5
3, 5, 9, 1, 1, 1, 18, 6
4, 12, 9, 1, 1, 1, 27, 6.75
5, 12, 0, 0, 1, 1, 27, 5.4
6, 10, 9, 3, 1, 1, 36, 6
7, 10, 0, 1, 1, 1, 36, 5.14286
8, 10, 0, 0, 1, 1, 36, 4.5
9, 8, 9, 3, 1, 1, 45, 5
10, 5, 9, 2, 1, 1, 54, 5.4
11, 5, 0, 0, 1, 1, 54, 4.90909
12, 5, 0, 2, 1, 1, 54, 4.5
13, 5, 0, 0, 1, 1, 54, 4.15385
14, 5, 0, 1, 1, 1, 54, 3.85714
15, 8, 9, 0, 1, 1, 63, 4.2
16, 10, 9, 3, 1, 1, 72, 4.5
17, 10, 0, 3, 1, 1, 72, 4.23529
18, 10, 0, 3, 1, 1, 72, 4
19, 10, 0, 1, 1, 1, 72, 3.78947
20, 10, 0, 2, 1, 1, 72, 3.6
21, 8, 9, 3, 1, 1, 81, 3.85714
22, 5, 9, 2, 1, 1, 90, 4.09091
23, 5, 0, 2, 1, 1, 90, 3.91304
24, 5, 0, 0, 1, 1, 90, 3.75
25, 5, 0, 3, 1, 1, 90, 3.6
26, 7, 20, 0, 1, 1, 110, 4.23077
27, 7, 0, 3, 1, 1, 110, 4.07407
28, 7, 0, 0, 1, 1, 110, 3.92857
29, 7, 0, 3, 1, 1, 110, 3.7931
30, 7, 0, 0, 1, 1, 110, 3.66667
31, 7, 0, 2, 1, 1, 110, 3.54839
32, 7, 0, 2, 1, 1, 110, 3.4375
33, 7, 0, 1, 1, 1, 110, 3.33333
34, 5, 9, 2, 1, 1, 119, 3.5
35, 5, 0, 1, 1, 1, 119, 3.4
36, 8, 9, 0, 1, 1, 128, 3.55556
37, 10, 9, 2, 1, 1, 137, 3.7027
38, 8, 9, 1, 1, 1, 146, 3.84211
39, 8, 0, 0, 1, 1, 146, 3.74359
40, 10, 9, 2, 1, 1, 155, 3.875
41, 8, 9, 1, 1, 1, 164, 4
42, 8, 0, 0, 1, 1, 164, 3.90476
43, 10, 9, 0, 1, 1, 173, 4.02326
44, 9, 9, 3, 1, 1, 182, 4.13636
45, 5, 9, 2, 1, 1, 191, 4.24444
46, 5, 0, 3, 1, 1, 191, 4.15217
47, 7, 9, 3, 1, 1, 200, 4.25532
48, 7, 0, 2, 1, 1, 200, 4.16667
49, 7, 0, 2, 1, 1, 200, 4.08163
50, 7, 0, 3, 1, 1, 200, 4
51, 7, 0, 1, 1, 1, 200, 3.92157
52, 5, 9, 0, 1, 1, 209, 4.01923
53, 5, 0, 1, 1, 1, 209, 3.9434
54, 9, 9, 0, 1, 1, 218, 4.03704
55, 9, 0, 3, 1, 1, 218, 3.96364
56, 5, 9, 2, 1, 1, 227, 4.05357
57, 5, 0, 0, 1, 1, 227, 3.98246
58, 5, 0, 0, 1, 1, 227, 3.91379
59, 5, 0, 2, 1, 1, 227, 3.84746
60, 5, 0, 3, 1, 1, 227, 3.78333
61, 7, 9, 0, 1, 1, 236, 3.86885
62, 7, 0, 2, 1, 1, 236, 3.80645
63, 7, 0, 0, 1, 1, 236, 3.74603
64, 7, 0, 0, 1, 1, 236, 3.6875
65, 7, 0, 1, 1, 1, 236, 3.63077
66, 5, 9, 2, 1, 1, 245, 3.71212
67, 5, 0, 3, 1, 1, 245, 3.65672
68, 7, 9, 1, 1, 1, 254, 3.73529
69, 5, 9, 0, 1, 1, 263, 3.81159
70, 5, 0, 3, 1, 1, 263, 3.75714
71, 7, 9, 3, 1, 1, 272, 3.83099
72, 7, 0, 0, 1, 1, 272, 3.77778
73, 7, 0, 3, 1, 1, 272, 3.72603
74, 7, 0, 3, 1, 1, 272, 3.67568
75, 7, 0, 0, 1, 1, 272, 3.62667
76, 7, 0, 2, 1, 1, 272, 3.57895
77, 7, 0, 2, 1, 1, 272, 3.53247
78, 7, 0, 0, 1, 1, 272, 3.48718
79, 7, 0, 1, 1, 1, 272, 3.44304
80, 5, 9, 1, 1, 1, 281, 3.5125
81, 9, 9, 0, 1, 1, 290, 3.58025
82, 9, 0, 0, 1, 1, 290, 3.53659
83, 9, 0, 2, 1, 1, 290, 3.49398
84, 10, 9, 1, 1, 1, 299, 3.55952
85, 10, 0, 3, 1, 1, 299, 3.51765
86, 10, 0, 2, 1, 1, 299, 3.47674
87, 8, 9, 1, 1, 1, 308, 3.54023
88, 8, 0, 2, 1, 1, 308, 3.5
89, 10, 9, 2, 1, 1, 317, 3.5618
90, 12, 9, 1, 1, 1, 326, 3.62222
91, 12, 0, 0, 1, 1, 326, 3.58242
92, 10, 9, 3, 1, 1, 335, 3.6413
93, 10, 0, 0, 1, 1, 335, 3.60215
94, 8, 9, 1, 1, 1, 344, 3.65957
95, 8, 0, 0, 1, 1, 344, 3.62105
96, 10, 9, 3, 1, 1, 353, 3.67708
97, 10, 0, 2, 1, 1, 353, 3.63918
98, 8, 9, 0, 1, 1, 362, 3.69388
99, 10, 9, 1, 1, 1, 371, 3.74747
100, 10, 0, 3, 1, 1, 371, 3.71
101, 10, 0, 1, 1, 1, 371, 3.67327
102, 10, 0, 2, 1, 1, 371, 3.63725
103, 8, 9, 3, 1, 1, 380, 3.68932
104, 5, 9, 2, 1, 1, 389, 3.74038
105, 5, 0, 2, 1, 1, 389, 3.70476
106, 5, 0, 1, 1, 1, 389, 3.66981
107, 8, 9, 0, 1, 1, 398, 3.71963
108, 10, 9, 1, 1, 1, 407, 3.76852
109, 10, 0, 0, 1, 1, 407, 3.73394
110, 9, 9, 2, 1, 1, 416, 3.78182
111, 10, 9, 0, 1, 1, 425, 3.82883
112, 9, 9, 0, 1, 1, 434, 3.875
113, 9, 0, 1, 1, 1, 434, 3.84071
114, 9, 0, 0, 1, 1, 434, 3.80702
115, 9, 0, 2, 1, 1, 434, 3.77391
116, 10, 9, 2, 1, 1, 443, 3.81897
117, 8, 9, 1, 1, 1, 452, 3.86325
118, 8, 0, 2, 1, 1, 452, 3.83051
119, 10, 9, 1, 1, 1, 461, 3.87395
120, 10, 0, 2, 1, 1, 461, 3.84167
121, 12, 9, 1, 1, 1, 470, 3.8843
122, 12, 0, 1, 1, 1, 470, 3.85246
123, 12, 0, 0, 1, 1, 470, 3.82114
124, 10, 9, 1, 1, 1, 479, 3.8629
125, 10, 0, 0, 1, 1, 479, 3.832
126, 8, 9, 0, 1, 1, 488, 3.87302
127, 10, 9, 1, 1, 1, 497, 3.91339
128, 10, 0, 0, 1, 1, 497, 3.88281
129, 9, 9, 1, 1, 1, 506, 3.92248
130, 9, 0, 0, 1, 1, 506, 3.89231
131, 9, 0, 3, 1, 1, 506, 3.8626
132, 5, 9, 0, 1, 1, 515, 3.90152
133, 5, 0, 2, 1, 1, 515, 3.87218
134, 5, 0, 1, 1, 1, 515, 3.84328
135, 9, 9, 3, 1, 1, 524, 3.88148
136, 5, 9, 2, 1, 1, 533, 3.91912
137, 5, 0, 3, 1, 1, 533, 3.89051
138, 7, 9, 1, 1, 1, 542, 3.92754
139, 5, 9, 2, 1, 1, 551, 3.96403
140, 5, 0, 3, 1, 1, 551, 3.93571
141, 7, 9, 2, 1, 1, 560, 3.97163
142, 7, 0, 0, 1, 1, 560, 3.94366
143, 7, 0, 3, 1, 1, 560, 3.91608
144, 7, 0, 1, 1, 1, 560, 3.88889
145, 5, 9, 0, 1, 1, 569, 3.92414
146, 5, 0, 1, 1, 1, 569, 3.89726
147, 9, 9, 3, 1, 1, 578, 3.93197
148, 5, 9, 0, 1, 1, 587, 3.96622
149, 5, 0, 3, 1, 1, 587, 3.9396
150, 7, 9, 1, 1, 1, 596, 3.97333
151, 5, 9, 0, 1, 1, 605, 4.00662
152, 5, 0, 3, 1, 1, 605, 3.98026
153, 7, 9, 0, 1, 1, 614, 4.01307
154, 7, 0, 2, 1, 1, 614, 3.98701
155, 7, 0, 0, 1, 1, 614, 3.96129
156, 7, 0, 1, 1, 1, 614, 3.9359
157, 5, 9, 0, 1, 1, 623, 3.96815
158, 5, 0, 2, 1, 1, 623, 3.94304
159, 5, 0, 1, 1, 1, 623, 3.91824
160, 9, 9, 1, 1, 1, 632, 3.95
161, 9, 0, 1, 1, 1, 632, 3.92547
162, 9, 0, 1, 1, 1, 632, 3.90123
163, 9, 0, 3, 1, 1, 632, 3.8773
164, 5, 9, 2, 1, 1, 641, 3.90854
165, 5, 0, 2, 1, 1, 641, 3.88485
166, 5, 0, 1, 1, 1, 641, 3.86145
167, 9, 9, 0, 1, 1, 650, 3.89222
168, 9, 0, 2, 1, 1, 650, 3.86905
169, 10, 9, 2, 1, 1, 659, 3.89941
170, 8, 9, 2, 1, 1, 668, 3.92941
171, 10, 9, 2, 1, 1, 677, 3.95906
172, 12, 9, 0, 1, 1, 686, 3.98837
173, 10, 9, 1, 1, 1, 695, 4.01734
174, 10, 0, 2, 1, 1, 695, 3.99425
175, 12, 9, 2, 1, 1, 704, 4.02286
176, 12, 0, 0, 1, 1, 704, 4
177, 10, 9, 1, 1, 1, 713, 4.02825
178, 10, 0, 3, 1, 1, 713, 4.00562
179, 10, 0, 2, 1, 1, 713, 3.98324
180, 12, 9, 3, 1, 1, 722, 4.01111
181, 5, 9, 2, 1, 1, 731, 4.03867
182, 5, 0, 3, 1, 1, 731, 4.01648
183, 7, 9, 1, 1, 1, 740, 4.04372
184, 5, 9, 2, 1, 1, 749, 4.07065
185, 5, 0, 1, 1, 1, 749, 4.04865
186, 12, 9, 1, 1, 1, 758, 4.07527
187, 12, 0, 0, 1, 1, 758, 4.05348
188, 10, 9, 2, 1, 1, 767, 4.07979
189, 12, 9, 0, 1, 1, 776, 4.10582
190, 10, 9, 1, 1, 1, 785, 4.13158
191, 10, 0, 0, 1, 1, 785, 4.10995
192, 8, 9, 1, 1, 1, 794, 4.13542
193, 8, 0, 3, 1, 1, 794, 4.11399
194, 5, 9, 2, 1, 1, 803, 4.13918
195, 5, 0, 3, 1, 1, 803, 4.11795
196, 7, 20, 2, 1, 1, 823, 4.19898
197, 7, 0, 1, 1, 1, 823, 4.17766
198, 5, 9, 3, 1, 1, 832, 4.20202
199, 7, 20, 2, 1, 1, 852, 4.28141
200, 7, 0, 2, 1, 1, 852, 4.26
201, 7, 0, 1, 1, 1, 852, 4.23881
